task,model,building_id,source_area,context_tolerance_m,paired_point_rmse_m,hausdorff_distance_m,relative_area_error_pct,source_is_valid,target_is_valid,prediction_is_valid
Fixed 2 m target,Identity baseline,2505,wedding,,1.0229303689060023,1.7019544667921693,4.357187723229988,True,True,True
Fixed 2 m target,Identity baseline,2506,wedding,,0.8070543337579621,1.20057009071263,3.3655331833751094,True,True,True
Fixed 2 m target,Identity baseline,2507,wedding,,3.834783677702665,1.0719868812139028,1.5606978063040118,True,True,True
Fixed 2 m target,Identity baseline,2508,wedding,,0.47547263110809135,0.5354411760843345,0.11684984202836587,True,True,True
Fixed 2 m target,Identity baseline,2509,wedding,,0.6987712215063137,0.6263776870945271,0.39009003827857086,True,True,True
Fixed 2 m target,Identity baseline,2510,wedding,,0.9129433172612543,1.604845949291483,4.253292084976776,True,True,True
Fixed 2 m target,Identity baseline,2511,wedding,,0.4708935463033857,0.45888266426797925,0.32215239321664496,True,True,True
Fixed 2 m target,Identity baseline,2512,wedding,,1.0388568979132893,1.7364861600111232,4.728598941241642,True,True,True
Fixed 2 m target,Identity baseline,2513,wedding,,0.7549883330939792,1.0000000186264515,1.79727095645786,True,True,True
Fixed 2 m target,Identity baseline,2514,wedding,,0.01991808804287006,0.062129842534946474,0.2885741584385617,True,True,True
Fixed 2 m target,Identity baseline,2515,wedding,,0.8405611427713922,1.0077407084017564,0.3433021829376151,True,True,True
Fixed 2 m target,Identity baseline,2516,wedding,,0.6278984435412669,0.6390664678133173,2.7845232929467825,True,True,True
Fixed 2 m target,Identity baseline,2517,wedding,,0.7432353344090258,0.7197655671755244,0.697361430393541,True,True,True
Fixed 2 m target,Identity baseline,2518,wedding,,1.0762551645772314,1.1930201963567066,0.21446763666058016,True,True,True
Fixed 2 m target,Identity baseline,2519,wedding,,1.5448515012961563,1.593082573453726,3.0121189026214648,True,True,True
Fixed 2 m target,Identity baseline,2520,wedding,,1.046787557804231,1.5907929487815082,1.94120929222487,True,True,True
Fixed 2 m target,Identity baseline,2521,wedding,,0.36051954572124595,0.5238455631236407,0.2768597433235803,True,True,True
Fixed 2 m target,Identity baseline,2522,wedding,,0.4480452260434913,1.2696036788366787,3.25846564085533,True,True,True
Fixed 2 m target,Identity baseline,2523,wedding,,0.6767627217341357,0.9999994710087776,2.704855457678227,True,True,True
Fixed 2 m target,Identity baseline,2524,wedding,,0.43234270707218275,0.5966212967414044,0.1056427169456678,True,True,True
Fixed 2 m target,Identity baseline,2525,wedding,,0.10408518446046082,0.4446515129765084,0.6582662758652759,True,True,True
Fixed 2 m target,Identity baseline,2526,wedding,,0.7091968733857691,1.5617376322672905,5.538079788454031,True,True,True
Fixed 2 m target,Identity baseline,2527,wedding,,0.770888309857046,1.1399121459361359,0.8098531038985902,True,True,True
Fixed 2 m target,Identity baseline,2528,wedding,,1.218699933232583,1.1399018004038586,1.7714693618867774,True,True,True
Fixed 2 m target,Identity baseline,2529,wedding,,0.49945036240257895,0.9808557337470565,1.116091697598991,True,True,True
Fixed 2 m target,Identity baseline,2530,wedding,,0.6700784578799563,1.4818726638806414,1.468423091352144,True,True,True
Fixed 2 m target,Identity baseline,2531,wedding,,0.2791807171758188,0.5000000270083547,0.13775040562027946,True,True,True
Fixed 2 m target,Identity baseline,2532,wedding,,0.153789251803568,0.44431058211778524,0.011394088676340468,True,True,True
Fixed 2 m target,Identity baseline,2533,wedding,,11.086764414808655,1.193099994711448,0.4918980219757828,True,True,True
Fixed 2 m target,Identity baseline,2534,wedding,,0.7038841837967772,1.161440221207322,2.4109819555639946,True,True,True
Fixed 2 m target,Identity baseline,2535,wedding,,0.8126879040451335,1.1473212592556266,1.2016755511611252,True,True,True
Fixed 2 m target,Identity baseline,2536,wedding,,0.009568358808279248,0.031228318523419236,0.09428483380864283,True,True,True
Fixed 2 m target,Identity baseline,2537,wedding,,0.0,0.0,0.0,True,True,True
Fixed 2 m target,Identity baseline,2538,wedding,,0.8862454335182152,1.2585744548799143,0.5154162377031104,True,True,True
Fixed 2 m target,Identity baseline,2539,wedding,,0.597515814837838,0.7058863981629656,2.1376046454656574,True,True,True
Fixed 2 m target,Identity baseline,2540,wedding,,1.1131510362297508,1.7226339374427635,3.1060291455452274,True,True,True
Fixed 2 m target,Identity baseline,2541,wedding,,0.6408155411245202,1.6520405309301478,3.8529607374507493,True,True,True
Fixed 2 m target,Identity baseline,2542,wedding,,0.7576312557571521,1.499999945051968,8.147443757480872,True,True,True
Fixed 2 m target,Identity baseline,2543,wedding,,0.969002006747181,1.4820181977081528,4.693198709184152,True,True,True
Fixed 2 m target,Identity baseline,2544,wedding,,0.30433674658198107,0.812324020706504,4.845350425073233,True,True,True
Fixed 2 m target,Identity baseline,2545,wedding,,0.760666293251137,1.1929838876840873,3.0336774136975797,True,True,True
Fixed 2 m target,Identity baseline,2546,wedding,,0.26859553646142087,0.4123000650790925,0.9395222012999981,True,True,True
Fixed 2 m target,Identity baseline,2547,wedding,,1.2751976637701994,1.7878612974608492,1.2752487983842513,True,True,True
Fixed 2 m target,Identity baseline,2548,wedding,,0.5052217370516983,1.1801633360295627,3.377031617177021,True,True,True
Fixed 2 m target,Identity baseline,2549,wedding,,1.8160323493836132,1.8089704094603687,1.8958281332502764,True,True,True
Fixed 2 m target,Identity baseline,2550,wedding,,0.8585577704694869,1.39714595444389,1.4688249066871988,True,True,True
Fixed 2 m target,Identity baseline,2551,wedding,,4.586892418534691,1.80372512554885,4.394612160775602,True,True,True
Fixed 2 m target,Identity baseline,2552,wedding,,1.9690677703079953,1.5000000540167093,4.2001028100967845,True,True,True
Fixed 2 m target,Identity baseline,2553,wedding,,0.23404931379429403,0.430950780277797,0.5595234383580687,True,True,True
Fixed 2 m target,Identity baseline,2554,wedding,,0.4880780486652865,1.28224153368153,1.19952900089629,True,True,True
Fixed 2 m target,Identity baseline,2555,wedding,,1.3391889091706777,1.472912553790627,0.8399393695600009,True,True,True
